"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","dec_coord_datum_cd","dateTime","daily_mean","daily_max","daily_mean_code","daily_max_code"
"1","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-01",0.02,0.02,"",""
"2","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-02",0.02,0.02,"",""
"3","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-03",0.02,0.02,"",""
"4","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-04",0.02,0.02,"",""
"5","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-05",0.02,0.02,"",""
"6","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-06",0.03875,0.05,"",""
"7","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-07",0.103333333333333,0.19,"",""
"8","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-08",0.313333333333333,0.43,"",""
"9","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-09",0.466666666666667,0.55,"",""
"10","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-10",0.403333333333333,0.6,"",""
"11","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-11",0.02,0.02,"",""
"12","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-12",0.02,0.02,"",""
"13","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-13",0.335416666666667,0.55,"",""
"14","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-14",0.4675,0.6,"",""
"15","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-15",0.26,0.38,"",""
"16","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-16",0.401666666666667,0.49,"",""
"17","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-17",0.6575,0.82,"",""
"18","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-18",0.625,0.77,"",""
"19","IIDFG","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","2016-01-19",0.720833333333333,0.88,"",""
