"","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","dec_coord_datum_cd","source"
"1","IIDFG-10WSSBRUS","Brushy Creek","River/Stream",46.57754,-114.61024,"WGS84","IDFG (WQP)"
"2","IIDFG-13WSSCFCK","Crooked Fork Creek","River/Stream",46.57885,-114.6123,"WGS84","IDFG (WQP)"
"3","IIDFG-21WSSFIS2","Fish Creek #2","River/Stream",46.3401,-115.354243,"WGS84","IDFG (WQP)"
"4","IIDFG-23WSSFIS4","Fish Creek #4","River/Stream",46.35223,-115.41302,"WGS84","IDFG (WQP)"
"5","IIDFG-24WSSFISH","Fish Creek #1 - tag tent","River/Stream",46.34027,-115.35522,"WGS84","IDFG (WQP)"
"6","IIDFG-26WSSGED2","Gedney Creek #2 @ Cedar Camp","River/Stream",46.07618245,-115.314249,"WGS84","IDFG (WQP)"
"7","IIDFG-27WSSGEDC","Gedney Creek @ mouth","River/Stream",46.058467,-115.314259,"WGS84","IDFG (WQP)"
"8","IIDFG-30WSSHUNG","Hungery Creek","River/Stream",46.35758,-115.3979,"WGS84","IDFG (WQP)"
"9","IIDFG-31WSSINDI","Indian Creek","River/Stream",45.790857,-114.764029,"WGS84","IDFG (WQP)"
"10","IIDFG-34WSSLCLW","Little Clearwater Creek","River/Stream",45.75307,-114.77559,"WGS84","IDFG (WQP)"
"11","IIDFG-38WSSMARS","Marsh Creek","River/Stream",44.394334,-115.168199,"WGS84","IDFG (WQP)"
"12","IIDFG-41WSSPAHS","Pahsameroi River","River/Stream",44.68452,-114.040312,"WGS84","IDFG (WQP)"
"13","IIDFG-45WSSRAPM","Rapid River (MF Salmon)","River/Stream",44.57016,-115.07112,"WGS84","IDFG (WQP)"
"14","IIDFG-46WSSRAPR","Rapid River","River/Stream",45.35162,-116.3987,"WGS84","IDFG (WQP)"
"15","IIDFG-47WSSREDR","Red River","River/Stream",45.711556,-115.346853,"WGS84","IDFG (WQP)"
"16","IIDFG-48WSSRFLC","Redfish Lake Creek @ weir","River/Stream",44.150344,-114.913915,"WGS84","IDFG (WQP)"
"17","IIDFG-49WSSSAWH","Salmon River @ Sawtooth Hatchery","River/Stream",44.15327,-114.88409,"WGS84","IDFG (WQP)"
"18","IIDFG-50WSSSEL1","upper Selway River @ McGruder","River/Stream",45.70192,-114.71737,"WGS84","IDFG (WQP)"
"19","IIDFG-51WSSSEL2","lower Selway River","River/Stream",46.07782,-115.39469,"WGS84","IDFG (WQP)"
"20","IIDFG-57WSSVALC","Valley Creek","River/Stream",44.305532,-115.052158,"WGS84","IDFG (WQP)"
"21","IIDFG-62WSSWHTC","White Cap Creek","River/Stream",45.862842,-114.735204,"WGS84","IDFG (WQP)"
"22","IIDFG-63WSSWILL","Willow Creek","River/Stream",46.3609,-115.3825,"WGS84","IDFG (WQP)"
"23","IIDFG-8WSSBOUL","Boulder Creek","River/Stream",46.33604,-115.313111,"WGS84","IDFG (WQP)"
